Alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,CL/CD,Endurance_Score,Payload_Score,Average_Endurance_Score,Average_Payload_Score,Airfoil
-3.0,-0.4246,0.01658,0.00896,0.0225,1.0,0.8032,-25.609167671893847,-25.794047671893846,-15.795666603136308,4.903016390163013,3.1678388817168557,0210
-2.0,-0.1986,0.01793,0.00956,0.0069,1.0,0.9491,-11.076408254322363,-11.166883254322363,-6.848720952593418,4.903016390163013,3.1678388817168557,0210
-1.0,-0.0167,0.01609,0.00733,-0.0122,1.0,1.0,-1.0379117464263516,-1.0489767464263517,-0.6414450478558109,4.903016390163013,3.1678388817168557,0210
0.0,0.0,0.01538,0.00665,-0.0,1.0,1.0,0.0,-0.00769,-0.003076,4.903016390163013,3.1678388817168557,0210
1.0,0.0167,0.01609,0.00732,0.0122,1.0,1.0,1.0379117464263516,1.0328867464263516,0.6350090478558109,4.903016390163013,3.1678388817168557,0210
2.0,0.1986,0.01793,0.00956,-0.0069,0.9491,1.0,11.076408254322363,11.148953254322363,6.841548952593417,4.903016390163013,3.1678388817168557,0210
3.0,0.4245,0.01657,0.00896,-0.0224,0.8032,1.0,25.618587809293903,25.786822809293906,15.794578685576342,4.903016390163013,3.1678388817168557,0210
4.0,0.5049,0.0169,0.00883,-0.01,0.5935,1.0,29.87573964497042,30.07224964497042,18.42796378698225,4.903016390163013,3.1678388817168557,0210
5.0,0.5751,0.01987,0.01029,0.0001,0.3078,1.0,28.94313034725717,29.163205347257172,17.936994208354303,4.903016390163013,3.1678388817168557,0210
6.0,0.6589,0.02553,0.0151,0.0057,0.1623,1.0,25.808852330591463,26.057937330591464,16.13853539835488,4.903016390163013,3.1678388817168557,0210
7.0,0.749,0.03314,0.02327,0.0099,0.119,1.0,22.601086300543148,22.881146300543147,14.302033780325889,4.903016390163013,3.1678388817168557,0210
8.0,0.8127,0.04516,0.03694,0.0154,0.1046,1.0,17.99601417183348,18.29389417183348,11.599736503100088,4.903016390163013,3.1678388817168557,0210
9.0,0.8029,0.06538,0.05888,0.0191,0.1077,1.0,12.28051391862955,12.56325391862955,8.156222351177728,4.903016390163013,3.1678388817168557,0210
